variant,strategy,pattern,severity,impact_score,line_number,co_occurring_patterns,source_lines,complexity_class,total_suggestions,score,severity_encoded
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57,2
base,hoist_invariant,loop_invariant,medium,8.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,2
base,hoist_invariant,constant_folding,low,2.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,1
base,hoist_invariant,loop_invariant,medium,8.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,2
base,hoist_invariant,constant_folding,low,2.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,1
base,hoist_invariant,loop_invariant,medium,8.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,2
base,hoist_invariant,constant_folding,low,2.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,1
base,hoist_invariant,loop_invariant,medium,8.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,2
base,hoist_invariant,constant_folding,low,2.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,1
base,hoist_invariant,loop_invariant,medium,8.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,2
base,hoist_invariant,constant_folding,low,2.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,1
base,hoist_invariant,loop_invariant,medium,8.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,2
base,hoist_invariant,constant_folding,low,2.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,1
base,hoist_invariant,loop_invariant,medium,8.0,5,constant_folding|loop_invariant,7,O(n),2,95.14,2
